violation_id,n_agents,manipulator,changed_other_agents,manipulator_assignment,truthful_manipulator_pref,misreport_manipulator_pref,truthful_profile,misreport_profile,truthful_allocation,misreport_allocation
22,3,2,"0,1",1,"{0,1} > {2}",{1} > {0} > {2},"A0: {2} > {0,1} | A1: {2} > {0} > {1} | A2: {0,1} > {2}","A0: {2} > {0,1} | A1: {2} > {0} > {1} | A2: {1} > {0} > {2}","A0->2, A1->0, A2->1","A0->0, A1->2, A2->1"
23,3,2,"0,1",1,"{1,2} > {0}","{0,1,2}","A0: {2} > {0,1} | A1: {2} > {0} > {1} | A2: {1,2} > {0}","A0: {2} > {0,1} | A1: {2} > {0} > {1} | A2: {0,1,2}","A0->0, A1->2, A2->1","A0->2, A1->0, A2->1"
24,3,2,"0,1",1,"{1,2} > {0}","{0,1} > {2}","A0: {2} > {0,1} | A1: {2} > {0} > {1} | A2: {1,2} > {0}","A0: {2} > {0,1} | A1: {2} > {0} > {1} | A2: {0,1} > {2}","A0->0, A1->2, A2->1","A0->2, A1->0, A2->1"
25,3,2,"0,1",1,"{1} > {0,2}","{0,1,2}","A0: {2} > {0,1} | A1: {2} > {0} > {1} | A2: {1} > {0,2}","A0: {2} > {0,1} | A1: {2} > {0} > {1} | A2: {0,1,2}","A0->0, A1->2, A2->1","A0->2, A1->0, A2->1"
26,3,2,"0,1",1,"{1} > {0,2}","{0,1} > {2}","A0: {2} > {0,1} | A1: {2} > {0} > {1} | A2: {1} > {0,2}","A0: {2} > {0,1} | A1: {2} > {0} > {1} | A2: {0,1} > {2}","A0->0, A1->2, A2->1","A0->2, A1->0, A2->1"
27,3,2,"0,1",1,{1} > {2} > {0},"{0,1,2}","A0: {2} > {0,1} | A1: {2} > {0} > {1} | A2: {1} > {2} > {0}","A0: {2} > {0,1} | A1: {2} > {0} > {1} | A2: {0,1,2}","A0->0, A1->2, A2->1","A0->2, A1->0, A2->1"
28,3,2,"0,1",1,{1} > {2} > {0},"{0,1} > {2}","A0: {2} > {0,1} | A1: {2} > {0} > {1} | A2: {1} > {2} > {0}","A0: {2} > {0,1} | A1: {2} > {0} > {1} | A2: {0,1} > {2}","A0->0, A1->2, A2->1","A0->2, A1->0, A2->1"
29,3,2,"0,1",1,{1} > {0} > {2},"{0,1,2}","A0: {2} > {0,1} | A1: {2} > {0} > {1} | A2: {1} > {0} > {2}","A0: {2} > {0,1} | A1: {2} > {0} > {1} | A2: {0,1,2}","A0->0, A1->2, A2->1","A0->2, A1->0, A2->1"
30,3,2,"0,1",1,{1} > {0} > {2},"{0,1} > {2}","A0: {2} > {0,1} | A1: {2} > {0} > {1} | A2: {1} > {0} > {2}","A0: {2} > {0,1} | A1: {2} > {0} > {1} | A2: {0,1} > {2}","A0->0, A1->2, A2->1","A0->2, A1->0, A2->1"
31,3,0,"1,2",2,"{2} > {0,1}","{0,1,2}","A0: {2} > {0,1} | A1: {0} > {2} > {1} | A2: {0} > {1} > {2}","A0: {0,1,2} | A1: {0} > {2} > {1} | A2: {0} > {1} > {2}","A0->2, A1->1, A2->0","A0->2, A1->0, A2->1"
32,3,0,"1,2",2,"{2} > {0,1}","{1,2} > {0}","A0: {2} > {0,1} | A1: {0} > {2} > {1} | A2: {0} > {1} > {2}","A0: {1,2} > {0} | A1: {0} > {2} > {1} | A2: {0} > {1} > {2}","A0->2, A1->1, A2->0","A0->2, A1->0, A2->1"
33,3,0,"1,2",2,"{2} > {0,1}","{0,1,2}","A0: {2} > {0,1} | A1: {0} > {1} > {2} | A2: {0} > {1} > {2}","A0: {0,1,2} | A1: {0} > {1} > {2} | A2: {0} > {1} > {2}","A0->2, A1->1, A2->0","A0->2, A1->0, A2->1"
34,3,0,"1,2",2,"{2} > {0,1}","{1,2} > {0}","A0: {2} > {0,1} | A1: {0} > {1} > {2} | A2: {0} > {1} > {2}","A0: {1,2} > {0} | A1: {0} > {1} > {2} | A2: {0} > {1} > {2}","A0->2, A1->1, A2->0","A0->2, A1->0, A2->1"
35,3,0,"1,2",2,"{1,2} > {0}","{2} > {0,1}","A0: {1,2} > {0} | A1: {0} > {1,2} | A2: {0} > {1} > {2}","A0: {2} > {0,1} | A1: {0} > {1,2} | A2: {0} > {1} > {2}","A0->2, A1->0, A2->1","A0->2, A1->1, A2->0"
36,3,0,"1,2",2,"{1,2} > {0}",{2} > {1} > {0},"A0: {1,2} > {0} | A1: {0} > {1,2} | A2: {0} > {1} > {2}","A0: {2} > {1} > {0} | A1: {0} > {1,2} | A2: {0} > {1} > {2}","A0->2, A1->0, A2->1","A0->2, A1->1, A2->0"
